,cat1,cat2,cat3,brand_name
48,WOM,Pants,"Capris, Cropped",lululemon athletica
50,WOM,Women's Handbags,Messenger & Crossbody,Michael Kors
51,KID,Girls (4+),Shoes,Others
52,VIN,Antique,Collectibles,Others
54,HOM,Kitchen & Dining,Coffee & Tea Accessories,Rae Dunn
55,VIN,Jewelry,Brooch,Others
59,ELE,Cell Phones & Accessories,Headsets,Others
60,WOM,Jewelry,Rings,Others
62,WOM,Athletic Apparel,Shorts,Others
64,MEN,Coats & Jackets,Fleece Jacket,patagonia
65,KID,Toys,Dolls & Accessories,Others
67,WOM,Sweaters,Crewneck,Others
68,WOM,Athletic Apparel,Jackets,Others
69,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Others
70,WOM,Shoes,Athletic,Adidas
72,HOM,Home Décor,Home Fragrance,Others
73,KID,Boys 0-24 Mos,Accessories,Others
76,WOM,Swimwear,Two-Piece,Others
77,HOM,Home Décor,Other,Others
79,KID,Girls 0-24 Mos,Shoes,Others
80,WOM,Maternity,Tops & Blouses,Others
85,HOM,Bedding,Sheets & Pillowcases,Others
86,SPO,Exercise,Fitness technology,Others
87,KID,Toys,Dress Up & Pretend Play,Others
88,VIN,Trading Cards,Animation,Others
89,KID,Boys (4+),Shoes,Nike
90,HOM,Storage & Organization,Jewelry Boxes & Organizers,Others
91,ELE,Video Games & Consoles,Games,Nintendo
92,WOM,Jeans,Boot Cut,Silver Jeans Co.
93,SPO,Fan Shop,NCAA,Others
94,KID,Toys,Electronics for Kids,Spin Master
95,KID,Girls 2T-5T,Shoes,Others
98,MEN,Men's Accessories,Watches,Others
99,WOM,Athletic Apparel,"Pants, Tights, Leggings",Lululemon
101,WOM,Jeans,Boot Cut,Rock Revival
102,WOM,Dresses,Knee-Length,Others
103,KID,Boys 2T-5T,Shoes,Others
105,WOM,Women's Accessories,Wallets,Fossil
106,WOM,Athletic Apparel,Tracksuits & Sweats,Adidas
107,WOM,Shoes,Boots,Others
111,WOM,Swimwear,Two-Piece,Victoria's Secret
113,BEA,Fragrance,Women,MARC JACOBS
114,WOM,Shoes,Loafers & Slip-Ons,Others
115,WOM,Shoes,Pumps,Steve Madden
116,MEN,Shoes,Athletic,Nike
119,WOM,Sweaters,Full Zip,PINK
121,OTH,Daily & Travel items,Medical Supplies & Equipment,Others
122,NOI,no_info,no_info,Others
123,WOM,Dresses,Other,Others
124,WOM,Jeans,"Slim, Skinny",Miss Me
125,MEN,Men's Accessories,Belts,Others
127,WOM,Women's Accessories,Other,Others
128,HOM,Home Décor,Tapestries,Others
132,VIN,Collectibles,Figurine,Others
133,BEA,Makeup,Lips,Others
134,WOM,Women's Handbags,Messenger & Crossbody,Fossil
136,WOM,Skirts,Mini,Others
137,MEN,Shoes,Fashion Sneakers,Adidas
138,KID,Girls (4+),Dresses,Others
139,BEA,Hair Care,Shampoo & Conditioner Sets,Others
140,ELE,Video Games & Consoles,Video Gaming Merchandise,Nintendo
141,WOM,Shoes,Pumps,Others
142,KID,Boys (4+),Top & T-shirts,Others
144,OTH,Pet Supplies,Dogs,Others
146,WOM,Sweaters,Full Zip,Lululemon
147,WOM,Women's Handbags,Shoulder Bag,Michael Kors
149,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,Apple
150,WOM,Women's Handbags,Hobo,Kate Spade
151,MEN,Tops,T-shirts,Nike
152,WOM,Underwear,Bras,Others
157,BEA,Makeup,Nails,Others
158,VIN,Book,Comics,Others
159,OTH,Daily & Travel items,Household Supplies,Others
160,WOM,Tops & Blouses,Halter,Others
161,KID,Toys,Learning & Education,Others
163,BEA,Tools & Accessories,Makeup Brushes & Tools,Others
164,WOM,Jewelry,Earrings,Others
166,BEA,Fragrance,Women,Others
168,WOM,Jewelry,Rings,PANDORA
171,KID,Gear,Baby Gyms & Playmats,Others
172,KID,Boys 0-24 Mos,Shoes,Nike
173,WOM,Sweaters,Cardigan,Others
174,BEA,Makeup,Makeup Palettes,Others
176,OTH,Office supplies,Shipping Supplies,Others
177,ELE,Video Games & Consoles,Games,Sony
178,WOM,Sweaters,Collared,Victoria's Secret
181,WOM,Underwear,Panties,PINK
182,WOM,Tops & Blouses,Other,Victoria's Secret
183,KID,Boys 0-24 Mos,Other,Others
185,HAN,Jewelry,Jewelry,Others
186,WOM,Shoes,Sandals,Others
187,BEA,Makeup,Eyes,Younique
189,SPO,Team Sports,Baseball & Softball,Others
192,WOM,Pants,Casual Pants,Others
197,WOM,Tops & Blouses,T-Shirts,LuLaRoe
199,WOM,Women's Accessories,Belts,Others
200,BEA,Fragrance,Candles & Home Scents,Others
201,KID,Girls (4+),Accessories,Others
204,WOM,Underwear,Panties,Others
205,HOM,Home Appliances,Kitchen Appliances,Others
206,WOM,Sweaters,Hooded,Others
207,BEA,Skin Care,Lips,Others
208,ELE,Cell Phones & Accessories,Cables & Adapters,Samsung
209,KID,Girls (4+),Coats & Jackets,The North Face
210,KID,Girls 0-24 Mos,Dresses,Others
211,VIN,Accessories,Keychain,Others
213,BEA,Makeup,Lips,Too Faced
214,WOM,Dresses,Asymmetrical Hem,Others
215,HAN,Bags and Purses,Wristlet,Others
216,VIN,Bags and Purses,Clutch,Others
217,WOM,Jewelry,Necklaces,Tiffany & Co.
218,HOM,Home Décor,Home Fragrance,Scentsy
219,BEA,Skin Care,Face,Estee Lauder
222,WOM,Dresses,Full-Length,Others
224,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",PINK
226,WOM,Other,Other,Victoria's Secret
227,MEN,Shorts,Casual Shorts,Others
228,ELE,"TV, Audio & Surveillance",Gadgets,AmazonBasics
229,SPO,Outdoors,Fishing,Others
232,WOM,Women's Handbags,Shoulder Bag,Others
233,ELE,Video Games & Consoles,Games,Xbox
235,WOM,Jeans,Leggings,Others
238,KID,Girls (4+),Jeans,Others
239,ELE,Computers & Tablets,iPad,Others
240,VIN,Trading Cards,Sports,Others
241,WOM,Women's Accessories,Wallets,Michael Kors
243,WOM,Pants,Other,Others
244,WOM,Women's Accessories,Wallets,Cole Haan
245,BEA,Bath & Body,Bath,Others
246,KID,Car Seats & Accessories,Accessories,Others
248,WOM,Jewelry,Bracelets,PANDORA
249,BEA,Skin Care,Body,Others
252,BEA,Makeup,Face,Georgio Armani
254,WOM,Jewelry,Earrings,Kendra Scott
256,MEN,Athletic Apparel,Socks,Others
259,WOM,Tops & Blouses,T-Shirts,vineyard vines
260,KID,Boys 0-24 Mos,Coats & Jackets,Others
261,OTH,Daily & Travel items,Sports Nutrition,Others
263,VIN,Toy,Action Figure,Funko
264,OTH,Other,Other,Others
265,BEA,Makeup,Makeup Sets,Others
266,KID,Boys 0-24 Mos,Shoes,Others
267,WOM,Women's Handbags,Totes & Shoppers,Coach
268,MEN,Men's Accessories,Hats,Others
269,WOM,Women's Handbags,Totes & Shoppers,UGG Australia
271,ELE,"TV, Audio & Surveillance",Portable Audio & Accessories,Others
272,WOM,Sweaters,Full Zip,Adidas
279,HOM,Home Décor,Photo Albums & Frames,Others
280,KID,Toys,Party Supplies,Others
281,KID,Toys,Games,Others
283,KID,Toys,Action Figures & Statues,Others
285,SPO,Exercise,Fitness accessories,Others
288,WOM,Jeans,Leggings,LuLaRoe
289,WOM,Tops & Blouses,T-Shirts,Free People
292,BEA,Makeup,Lips,Kat Von D
294,WOM,Women's Handbags,Other,Lululemon
295,WOM,Women's Accessories,Sunglasses,Others
297,HAN,Art,Photography,Others
302,WOM,Women's Handbags,Shoulder Bag,Tory Burch
306,KID,Girls 2T-5T,Accessories,Others
309,KID,Girls 2T-5T,Dresses,Others
313,MEN,Shoes,Athletic,Jordan
315,WOM,Athletic Apparel,"Pants, Tights, Leggings",Independent
317,WOM,Sweaters,Hooded,PINK
320,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,Others
321,VIN,Accessories,Eyewear,Vera Bradley
322,ELE,Cell Phones & Accessories,Cables & Adapters,Others
325,ELE,"TV, Audio & Surveillance",Gadgets,Others
327,WOM,Athletic Apparel,"Pants, Tights, Leggings",Nike
328,WOM,Coats & Jackets,Jean Jacket,Others
329,WOM,Athletic Apparel,"Pants, Tights, Leggings",PINK
330,WOM,Pants,Other,PINK
334,HOM,Seasonal Décor,Halloween,Others
336,HOM,Kitchen & Dining,Dining & Entertaining,Rae Dunn
337,WOM,Shoes,Fashion Sneakers,Coach
339,WOM,Athletic Apparel,Shorts,Nike
340,WOM,Jeans,Boot Cut,Miss Me
342,HOM,Kitchen & Dining,Kitchen Utensils & Gadgets,Others
344,WOM,Athletic Apparel,Shirts & Tops,Gymshark
345,WOM,Shoes,Sandals,Tory Burch
348,BEA,Makeup,Lips,SeneGence
349,MEN,Shoes,Athletic,Adidas
353,MEN,Tops,Button-Front,Others
355,HOM,Other,Other,Others
361,KID,Boys 0-24 Mos,Tops & T-Shirts,Others
363,KID,Boys 2T-5T,Shoes,Nike
365,WOM,Women's Handbags,Backpack Style,MARC BY MARC JACOBS
367,SPO,Footwear,Cleats,Adidas
368,WOM,Coats & Jackets,Fleece Jacket,The North Face
370,WOM,Athletic Apparel,Socks,PINK
374,MEN,Jeans,"Slim, Skinny",Others
376,WOM,Maternity,Dresses,Others
377,WOM,Athletic Apparel,"Pants, Tights, Leggings",lululemon athletica
378,WOM,Jewelry,Bracelets,Kendra Scott
380,OTH,Daily & Travel items,Health Care,Others
384,WOM,Other,Other,PINK
391,WOM,Underwear,Panties,Victoria's Secret
392,MEN,Men's Accessories,Sunglasses,Others
394,WOM,Athletic Apparel,Shirts & Tops,Others
395,WOM,Women's Handbags,Totes & Shoppers,Victoria's Secret
398,WOM,Tops & Blouses,Tunic,Others
403,VIN,Housewares,Ceramic,Others
405,ELE,Media,DVD,Others
409,ELE,Cell Phones & Accessories,Cell Phone Accessories,Others
410,WOM,Shoes,Sandals,Michael Kors
411,KID,Toys,Dolls & Accessories,Hasbro
412,OTH,Office supplies,Ink & Toner,HP
413,VIN,Jewelry,Necklace,Others
416,MEN,Athletic Apparel,Socks,DC Comics
417,OTH,Daily & Travel items,Personal Care,Others
419,BEA,Makeup,Lips,Younique
421,WOM,Athletic Apparel,Tracksuits & Sweats,PINK
423,ELE,Cameras & Photography,Digital Cameras,Others
424,SPO,Exercise,Fitness technology,Fitbit
425,HAN,Glass,Bottles,Others
431,WOM,Athletic Apparel,"Pants, Tights, Leggings",Victoria's Secret
435,BEA,Makeup,Lips,Kylie Cosmetics
437,MEN,Jeans,Boot Cut,Others
439,BEA,Makeup,Makeup Palettes,Morphe Cosmetics
442,HAN,Paper Goods,Sticker,Others
449,WOM,Sweaters,Hooded,Nike
455,MEN,Athletic Apparel,Jerseys,Others
458,ELE,Media,CD,Others
459,KID,Boys 2T-5T,Tops & T-Shirts,Others
460,WOM,Jeans,"Slim, Skinny",Others
461,WOM,Athletic Apparel,Tracksuits & Sweats,Victoria's Secret
463,ELE,Cameras & Photography,Camera & Photo Accessories,Others
464,WOM,Women's Accessories,Watches,Others
467,WOM,Women's Accessories,Watches,Michael Kors
469,WOM,Shoes,Fashion Sneakers,PUMA
470,HAN,Bags and Purses,Tote,Others
471,WOM,Shoes,Athletic,Nike
472,WOM,Maternity,Dresses,LuLaRoe
477,KID,Toys,Electronics for Kids,Others
478,WOM,Shoes,Flats,Tory Burch
479,WOM,Shoes,Fashion Sneakers,Converse
482,MEN,Shoes,Fashion Sneakers,Nike
486,WOM,Coats & Jackets,Vest,patagonia
489,MEN,Athletic Apparel,Shirts & Tops,Adidas
493,ELE,Video Games & Consoles,Games,Others
497,MEN,Tops,T-shirts,Nintendo
500,WOM,Women's Accessories,Hats,PINK
501,BEA,Makeup,Face,Tarte
504,WOM,Tops & Blouses,"Tank, Cami",PINK
505,MEN,Tops,"Polo, Rugby",Others
509,KID,Girls (4+),Tops & T-Shirts,Others
512,WOM,Tops & Blouses,T-Shirts,PINK
514,WOM,Sweaters,Full Zip,Others
516,BEA,Hair Care,Styling Products,Others
518,HOM,Cleaning Supplies,Household Cleaners,Others
520,WOM,Dresses,Knee-Length,LuLaRoe
521,MEN,Shoes,Boots,Timberland
522,HOM,Bedding,Blankets & Throws,Others
524,KID,Boys 2T-5T,Coats & Jackets,Others
526,KID,Toys,Dolls & Accessories,American Boy & Girl
529,MEN,Shoes,Fashion Sneakers,Converse
530,HAN,Bags and Purses,Purse,Others
535,KID,Boys 2T-5T,Tops & T-Shirts,Nike
538,OTH,Books,Literature & Fiction,Others
543,WOM,Women's Handbags,Totes & Shoppers,Burberry
545,KID,Girls 0-24 Mos,Bottoms,Others
547,WOM,Coats & Jackets,Peacoat,Others
548,WOM,Sweaters,Full Zip,The North Face
550,WOM,Athletic Apparel,Other,Nike
552,MEN,Men's Accessories,Hats,Supreme
553,KID,Girls 0-24 Mos,One-Pieces,Others
556,MEN,Shoes,Sandals,Nike
559,KID,Girls 0-24 Mos,Shoes,Nike
560,KID,Girls 2T-5T,Other,Others
561,WOM,Sweaters,V-Neck,Others
562,MEN,Shoes,Fashion Sneakers,Air Jordan
565,KID,Toys,Action Figures & Statues,Funko
568,BEA,Tools & Accessories,Makeup Brushes & Tools,Chanel
570,OTH,Books,Children's Books,Others
571,WOM,Jeans,Other,Others
572,WOM,Shoes,Athletic,adidas Originals
573,HOM,Kitchen & Dining,Small Appliances,Others
574,SPO,Team Sports,Football,Others
579,WOM,Women's Accessories,Hair Accessories,Others
580,WOM,Women's Accessories,Wallets,Others
593,OTH,Books,Education & Teaching,Others
596,WOM,Athletic Apparel,Shorts,Wildfox Couture
597,WOM,Shoes,Slippers,Others
598,WOM,Women's Accessories,Wallets,Kate Spade
600,MEN,Men's Accessories,Other,Others
601,BEA,Makeup,Face,Too Faced
603,KID,Boys 0-24 Mos,Swimwear,Others
608,KID,Girls 2T-5T,Accessories,Nike
614,WOM,Athletic Apparel,Sports Bras,Others
615,WOM,Jewelry,Necklaces,PANDORA
618,WOM,Women's Handbags,Totes & Shoppers,Michael Kors
621,HOM,Kids' Home Store,Kids' Room Décor,Others
623,WOM,Women's Accessories,Wallets,Dooney & Bourke
627,KID,Girls 2T-5T,Shoes,UGG Australia
629,WOM,Jewelry,Earrings,Nordstrom
630,WOM,Women's Handbags,Shoulder Bag,Dooney & Bourke
631,HOM,Bedding,Duvet Covers & Sets,Others
635,HOM,Kitchen & Dining,Dining & Entertaining,Others
640,WOM,Coats & Jackets,Vest,Others
644,KID,Boys 0-24 Mos,One-Pieces,Others
645,WOM,Sweaters,Hooded,Victoria's Secret
646,SPO,Exercise,Fitness accessories,PINK
649,KID,Boys 0-24 Mos,Bottoms,Others
651,MEN,Sweats & Hoodies,Track & Sweat Pants,Others
652,KID,Girls 0-24 Mos,Tops & T-Shirts,Others
653,WOM,Women's Handbags,Shoulder Bag,Fossil
655,WOM,Women's Handbags,Messenger & Crossbody,Juicy Couture
659,MEN,Athletic Apparel,Shirts & Tops,Nike
661,HOM,Kitchen & Dining,Coffee & Tea Accessories,Others
663,MEN,Coats & Jackets,Peacoat,Others
664,SPO,Other,Other,Others
673,BEA,Makeup,Face,MAC
676,WOM,Women's Handbags,Cosmetic Bags,Others
677,WOM,Women's Handbags,Totes & Shoppers,Vera Bradley
678,WOM,Sweaters,Cardigan,LuLaRoe
682,MEN,Shoes,Sandals,Others
684,BEA,Hair Care,Hair Color,Others
685,KID,Girls 2T-5T,Bottoms,Others
686,SPO,Team Sports,All Other Sports,Others
687,KID,Girls 0-24 Mos,Other,Others
688,WOM,Shoes,Sandals,PINK
691,WOM,Athletic Apparel,Other,Lululemon
692,WOM,Skirts,Maxi,Others
697,HOM,Home Décor,Lamps& Accessories,Others
699,OTH,Books,Other,Others
703,WOM,Women's Handbags,Backpack Style,Vera Bradley
705,BEA,Skin Care,Body,Victoria's Secret
710,VIN,Electronics,Radio,Others
711,BEA,Hair Care,Conditioners,Others
718,WOM,Jewelry,Rings,Stamped
720,WOM,Tops & Blouses,Tunic,Independent
722,WOM,Shoes,Flats,Others
725,SPO,Fan Shop,NFL,Others
727,KID,Diapering,Disposable Diapers,Others
728,WOM,Swimwear,Beach Accessories,Others
729,WOM,Skirts,"Straight, Pencil",Independent
732,MEN,Other,Other,Others
733,HOM,Bath,Bathroom Accessories,Others
736,WOM,Shoes,Athletic,ASICS
738,KID,Boys (4+),Coats & Jackets,Others
740,WOM,Coats & Jackets,Other,Others
748,KID,Toys,Baby & Toddler Toys,Others
753,WOM,Skirts,Asymmetrical,Others
757,ELE,"TV, Audio & Surveillance",Portable Audio & Accessories,Apple
759,ELE,Video Games & Consoles,Games,Microsoft
764,BEA,Makeup,Lips,Jeffree Star Cosmetics
766,WOM,Women's Accessories,Wallets,Louis Vuitton
767,WOM,Coats & Jackets,Fleece Jacket,Others
770,WOM,Other,Other,Vera Bradley
773,HAN,Children,Baby,Others
776,WOM,Sweaters,Hooded,Wildfox Couture
777,WOM,Dresses,"Above Knee, Mini",Bebe
779,HOM,Bath,Towels,Others
780,WOM,Women's Handbags,Messenger & Crossbody,Kate Spade
788,OTH,Magazines,Lifestyle & Cultures,Others
790,WOM,Jewelry,Necklaces,Vintage
791,HOM,Kitchen & Dining,Coffee & Tea Accessories,Lilly Pulitzer
793,WOM,Tops & Blouses,T-Shirts,Lululemon
794,WOM,Coats & Jackets,Military,Others
795,WOM,Shoes,Slippers,PINK
798,WOM,Sweaters,"Turtleneck, Mock",Others
799,ELE,Cell Phones & Accessories,Headsets,LG
800,HOM,Artwork,Paintings,Others
801,KID,Girls 2T-5T,Tops & T-Shirts,Others
820,WOM,Women's Accessories,Sunglasses,PINK
825,MEN,Sweats & Hoodies,Track & Sweat Pants,Adidas
826,VIN,Toy,Action Figure,Others
830,KID,Toys,Building Toys,LEGO
839,WOM,Women's Handbags,Shoulder Bag,Gucci
841,WOM,Tops & Blouses,Button Down Shirt,Others
842,WOM,Dresses,Knee-Length,Lilly Pulitzer
845,WOM,Women's Accessories,Scarves & Wraps,Michael Kors
851,MEN,Men's Accessories,Belts,Burberry
853,WOM,Dresses,Knee-Length,Independent
855,BEA,Skin Care,Feet,Others
864,KID,Girls 0-24 Mos,One-Pieces,Juicy Couture
868,WOM,Pants,"Khakis, Chinos",Others
873,WOM,Jeans,Straight Leg,Others
876,VIN,Antique,Book,Others
877,WOM,Shoes,Pumps,Christian Louboutin
878,WOM,Women's Handbags,Shoulder Bag,Coach
880,MEN,Shoes,Loafers & Slip-Ons,Harley-Davidson
884,WOM,Women's Handbags,Messenger & Crossbody,Coach
886,KID,Girls (4+),Tops & T-Shirts,The North Face
892,WOM,Dresses,"Above Knee, Mini",Lilly Pulitzer
893,BEA,Makeup,Makeup Palettes,Kat Von D
894,WOM,Jewelry,Earrings,Vintage
895,SPO,Fan Shop,MLB,Others
897,KID,Boys 2T-5T,Other,Others
900,WOM,Tops & Blouses,T-Shirts,Adidas
903,HAN,Toys,Other,Others
907,WOM,Athletic Apparel,Jackets,PINK
910,WOM,Other,Other,LuLaRoe
913,MEN,Athletic Apparel,Jerseys,Majestic
915,WOM,Sweaters,Cowl Neck,Victoria's Secret
916,MEN,Tops,Button-Front,Burberry
917,HOM,Seasonal Décor,Valentine,Others
921,WOM,Jewelry,Bracelets,Others
922,BEA,Makeup,Face,Estee Lauder
931,BEA,Tools & Accessories,Hair Styling Tools,Others
932,WOM,Sweaters,Poncho,Others
934,WOM,Athletic Apparel,Shirts & Tops,PINK
937,VIN,Electronics,Video Game,Others
951,BEA,Makeup,Makeup Palettes,Urban Decay
953,ELE,Computers & Tablets,Desktops & All-In-Ones,Others
957,HOM,Seasonal Décor,Thanksgiving,Rae Dunn
958,KID,Boys 2T-5T,Bottoms,Nike
966,WOM,Athletic Apparel,Shirts & Tops,Nike
969,WOM,Dresses,Mid-Calf,Others
973,WOM,Shoes,Athletic,Others
976,KID,Diapering,Cloth Diapers,Others
977,WOM,Shoes,Mules & Clogs,Others
980,WOM,Skirts,Mini,vineyard vines
981,WOM,Jeans,Leggings,Disney Collection
984,NOI,no_info,no_info,Michael Kors
986,WOM,Women's Handbags,Shoulder Bag,Chanel
988,WOM,Athletic Apparel,Tracksuits & Sweats,Others
991,KID,Toys,Hobbies,Others
998,OTH,Automotive,Car Electronics & Accessories,Others
1003,WOM,Athletic Apparel,Jackets,Lululemon
1006,BEA,Makeup,Makeup Palettes,Tarte
1009,HOM,Kids' Home Store,Kids' Bedding,Others
1011,KID,Girls 2T-5T,Coats & Jackets,Others
1014,VIN,Jewelry,Necklace,Harley-Davidson
1016,MEN,Tops,Tank,VANS
1023,WOM,Women's Accessories,Scarves & Wraps,Others
1026,WOM,Tops & Blouses,Blouse,Free People
1029,OTH,Office supplies,Electronics,Others
1031,BEA,Fragrance,Women,Chanel
1036,BEA,Makeup,Eyes,MAC
1038,BEA,Makeup,Lips,MAC
1039,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Others
1042,WOM,Jewelry,Necklaces,Juicy Couture
1046,BEA,Makeup,Eyes,Urban Decay
1049,WOM,Pants,Dress Pants,Others
1050,KID,Boys 2T-5T,Bottoms,Others
1052,WOM,Swimwear,Cover-Ups,Others
1057,HAN,Art,Painting,Others
1063,ELE,Cell Phones & Accessories,Screen Protectors,Others
1066,WOM,Shoes,Fashion Sneakers,VANS
1074,WOM,Women's Handbags,Totes & Shoppers,Dooney & Bourke
1077,SPO,Apparel,Boys,Others
1079,BEA,Bath & Body,Cleansers,Others
1084,HOM,Bedding,Comforters & Sets,Others
1098,WOM,Shoes,Fashion Sneakers,Others
1099,ELE,"TV, Audio & Surveillance",Gadgets,Apple
1100,MEN,Shoes,Athletic,New Balance
1102,WOM,Women's Handbags,Backpack Style,Others
1103,WOM,Jewelry,Necklaces,Stamped
1105,KID,Toys,Dolls & Accessories,American Girl ®
1106,HAN,Accessories,Hair,Others
1109,KID,Girls (4+),Other,Others
1111,MEN,Athletic Apparel,Socks,Nike
1112,WOM,Dresses,Knee-Length,Bebe
1115,MEN,Tops,Button-Front,Majestic
1122,WOM,Women's Accessories,Hats,Others
1123,BEA,Fragrance,Women,Georgio Armani
1125,BEA,Makeup,Eyes,Tarte
1126,WOM,Women's Handbags,Cosmetic Bags,Victoria's Secret
1131,ELE,Media,Blu-Ray,Others
1132,ELE,Computers & Tablets,"Drives, Storage & Media",Others
1138,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Samsung
1143,BEA,Fragrance,Kids,Others
1146,WOM,Women's Accessories,Hats,UGG Australia
1157,HOM,Kitchen & Dining,Bakeware,Others
1169,VIN,Serving,Mug,Others
1172,WOM,Underwear,G-Strings & Thongs,Victoria's Secret
1174,WOM,Coats & Jackets,Cape,Others
1181,WOM,Pants,"Capris, Cropped",PINK
1182,VIN,Clothing,Sweater,Others
1192,ELE,Video Games & Consoles,Accessories,Others
1193,WOM,Dresses,Knee-Length,PINK
1196,WOM,Women's Handbags,Cosmetic Bags,Kate Spade
1205,WOM,Tops & Blouses,T-Shirts,Harley-Davidson
1212,KID,Girls 2T-5T,Tops & T-Shirts,Nike
1214,KID,Boys (4+),Bottoms,Nike
1227,ELE,Video Games & Consoles,Consoles,Sony
1232,WOM,Athletic Apparel,Shorts,PINK
1233,WOM,Pants,Other,Lilly Pulitzer
1239,ELE,Video Games & Consoles,Video Gaming Merchandise,Others
1256,MEN,Shoes,Boots,Others
1259,ELE,Cell Phones & Accessories,Cables & Adapters,Apple
1264,OTH,Office supplies,Electronics,HP
1265,WOM,Tops & Blouses,Tunic,LuLaRoe
1266,ELE,"TV, Audio & Surveillance",Headphones,Others
1267,SPO,Exercise,Fitness accessories,Fitbit
1270,WOM,Tops & Blouses,"Tank, Cami",Lululemon
1272,WOM,Tops & Blouses,"Tank, Cami",lululemon athletica
1275,MEN,Men's Accessories,Wallets,Coach
1277,HAN,Accessories,Keychain,Others
1279,WOM,Tops & Blouses,Polo Shirt,Others
1283,WOM,Women's Handbags,Shoulder Bag,Vera Bradley
1285,WOM,Tops & Blouses,T-Shirts,Nike
1295,VIN,Supplies,Charm,Others
1306,HOM,Storage & Organization,Clothing & Closet Storage,Others
1309,HAN,Housewares,Wall Decor,Others
1316,BEA,Makeup,Body,Others
1318,HAN,Paper Goods,Scrapbooking,Others
1324,SPO,Fan Shop,NBA,Adidas
1333,WOM,Sweaters,Collared,PINK
1334,VIN,Bags and Purses,Handbag,Louis Vuitton
1341,WOM,Tops & Blouses,T-Shirts,VANS
1351,MEN,Men's Accessories,Wallets,Others
1354,KID,Feeding,Pacifiers & Accessories,Others
1355,WOM,Athletic Apparel,Shorts,lululemon athletica
1358,BEA,Makeup,Eyes,Lorac
1363,WOM,Dresses,Full-Length,LuLaRoe
1367,WOM,Jeans,"Capri, Cropped",Others
1370,WOM,Sweaters,Other,Others
1371,WOM,Women's Accessories,Wallets,PINK
1376,WOM,Women's Handbags,Shoulder Bag,Kate Spade
1378,VIN,Clothing,Sweater,Victoria's Secret
1382,MEN,Men's Accessories,Ties,Steve Madden
1386,WOM,Shoes,Boots,Hunter
1387,ELE,Video Games & Consoles,Accessories,Nintendo
1388,WOM,Jeans,"Capri, Cropped",Silver Jeans Co.
1394,WOM,Shoes,Boots,TOMS
1403,MEN,Athletic Apparel,Jerseys,Adidas
1415,WOM,Underwear,Other,Others
1428,WOM,Women's Handbags,Cosmetic Bags,Betsey Johnson
1434,WOM,Jewelry,Rings,Coach
1447,HOM,Home Décor,Home Décor Accents,Rae Dunn
1449,VIN,Antique,100 Years or Older,Others
1456,SPO,Apparel,Accessories,Others
1460,VIN,Bags and Purses,Pouch,Victoria's Secret
1466,MEN,Tops,T-shirts,Majestic
1468,MEN,Athletic Apparel,Jackets,Nike
1469,MEN,Shoes,Athletic,Jordans
1472,KID,Girls 0-24 Mos,Coats & Jackets,Others
